leaf_type,dominant_plant,min_depth,max_depth,sample_depth,turnover,turnover_n,turnover_growingseason,turnover_wetseason,Latitude,Longitude ,PFT,MAP,MAT
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,30,30,,,,,40.57,-105.08,temperate,,
deciduous,tree,0,30,30,,,,,40.57,-105.08,temperate,,
deciduous,tree,0,30,30,,,,,40.57,-105.08,temperate,,
deciduous,tree,0,30,30,,,,,40.57,-105.08,temperate,,
deciduous,tree,0,30,30,,,,,40.57,-105.08,temperate,,
deciduous,tree,0,30,30,,,,,40.57,-105.08,temperate,,
,tree,0,20,20,,,,,37.54166667,113.425,boreal,616.7,9.2
,tree,0,20,20,,,,,31.21666667,113.425,temperate,778.3,10.9
,tree,0,20,20,,,,,22.56666667,107.725,temperate,1895.3,21.5
,,0,20,20,,,,,18.60833333,108.8416667,tropical,2651,24.5
,,0,20,20,,,,,18.60833333,108.8416667,tropical,2651,24.5
,,0,20,20,,,,,18.60833333,108.8416667,tropical,2651,24.5
,,0,20,20,,,,,18.60833333,108.8416667,tropical,2651,24.5
,,0,20,20,,,,,18.60833333,108.8416667,tropical,2651,24.5
,,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
,,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
,,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
,,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
,,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,tree,0,30,30,,,,,31.25,-84.37,temperate,,
evergreen,shrub,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,shrub,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,shrub,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,shrub,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,shrub,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,shrub,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
